Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1421.6661
FDW14,OUT017,1367.3448
NCN55,OUT010,595.485
FDQ58,OUT017,2853.1003
FDY38,OUT027,6094.496
FDH56,OUT046,1751.5385
FDL48,OUT018,626.4157
FDC48,OUT027,1364.1725
FDN33,OUT045,972.1418
FDA36,OUT017,2438.9614
FDT44,OUT017,1696.306
FDQ56,OUT045,1960.7104
NCC54,OUT019,821.7818
FDU11,OUT049,1431.342
DRL59,OUT013,960.6255
FDM24,OUT049,2733.9658
FDI57,OUT045,4609.1934
DRC12,OUT018,2749.9866
NCM42,OUT027,3464.1775
FDA46,OUT010,563.9688
FDA31,OUT013,2381.9878
NCJ31,OUT035,3936.684
FDG52,OUT046,614.1903
NCL19,OUT019,500.0446
FDS10,OUT035,3358.0913
FDX22,OUT010,643.4768
NCF19,OUT035,751.5544
NCE06,OUT046,2166.5767
DRC27,OUT046,5372.543
FDE21,OUT035,1835.6125
NCR42,OUT019,102.2643
FDX51,OUT018,2021.4092
NCR06,OUT018,501.7013
FDU31,OUT027,5454.526
FDU59,OUT017,1796.4738
FDR03,OUT027,4095.5713
FDS49,OUT027,1383.4851
FDD48,OUT010,246.6201
NCF18,OUT017,4503.395
NCD43,OUT027,1831.4517
NCD54,OUT018,1194.587
FDY19,OUT010,193.2064
NCY54,OUT017,2060.7517
NCL19,OUT018,2267.8645
FDP23,OUT010,300.5178
FDC26,OUT013,2078.6228
FDR14,OUT010,132.1212
NCS41,OUT035,2873.3025
FDF41,OUT035,3915.3987
FDU34,OUT046,2470.069
DRH11,OUT046,765.1331
FDM03,OUT013,2115.7285
FDS31,OUT017,3694.5625
FDJ20,OUT017,1653.5844
FDV44,OUT027,3465.058
FDG02,OUT049,2364.7812
FDA09,OUT013,4226.2734
FDT04,OUT013,568.9666
FDL58,OUT019,671.9541
FDE52,OUT045,1793.12
FDW12,OUT035,2528.197
FDL51,OUT017,3691.9973
NCY42,OUT027,2275.8088
FDR07,OUT017,1472.8704
FDN40,OUT045,2807.705
FDB35,OUT027,2257.967
FDA22,OUT017,2480.9246
NCL06,OUT046,5134.8413
FDI35,OUT013,4636.105
NCW42,OUT045,4550.653
NCX06,OUT049,3397.7969
FDC37,OUT027,2620.1047
FDZ14,OUT018,1975.132
DRG49,OUT049,5180.0806
NCG06,OUT045,3746.5928
DRC36,OUT045,3227.4263
FDV21,OUT019,606.724
FDB53,OUT046,3733.872
DRP47,OUT019,719.4436
FDA14,OUT013,2196.2646
DRC24,OUT035,2720.8396
FDW21,OUT018,1281.1315
NCH29,OUT046,2294.2007
